review_requested	PullRequest	zeroclaw-labs/zeroclaw	7928	feat(wasi): initial WASM component-model plugin host code	2026-06-27T16:09:35Z	https://github.com/zeroclaw-labs/zeroclaw/pull/7928	24283224634
review_requested	PullRequest	zeroclaw-labs/zeroclaw	8368	feat(plugins): wasmtime component-model host for tool/channel/memory (DO NOT MERGE)	2026-06-27T15:34:08Z	https://github.com/zeroclaw-labs/zeroclaw/pull/8368	24387276439
review_requested	PullRequest	zeroclaw-labs/zeroclaw	8173	feat(gateway): in-app upgrade with auto-restart from the web dashboard	2026-06-27T14:07:46Z	https://github.com/zeroclaw-labs/zeroclaw/pull/8173	24326914183
review_requested	PullRequest	zeroclaw-labs/zeroclaw	6622	fix(channels/whatsapp): resolve LID→phone via persistent store for allowlist (#6350)	2026-06-27T11:12:35Z	https://github.com/zeroclaw-labs/zeroclaw/pull/6622	23860462803
review_requested	PullRequest	zeroclaw-labs/zeroclaw	6619	fix(runtime/agent): authorize shell explicitly at autonomy.level=full (#6434)	2026-06-27T11:12:26Z	https://github.com/zeroclaw-labs/zeroclaw/pull/6619	23859692702
mention	PullRequest	zeroclaw-labs/zeroclaw	8033	feat(onboard): two-path onboard tree wired end to end (LLM + deterministic) over RPC and CLI	2026-06-27T11:04:08Z	https://github.com/zeroclaw-labs/zeroclaw/pull/8033	24304122480
review_requested	PullRequest	zeroclaw-labs/zeroclaw	8082	feat(skills): dashboard write-guard, skipped-audit, and shadowed_by (#7963 follow-ups)	2026-06-27T09:46:12Z	https://github.com/zeroclaw-labs/zeroclaw/pull/8082	24312239439
review_requested	PullRequest	zeroclaw-labs/zeroclaw	7923	feat(auto-clean): supports automatic clearing of temporary files	2026-06-27T08:46:51Z	https://github.com/zeroclaw-labs/zeroclaw/pull/7923	24282168520
ci_activity	CheckSuite	JordanTheJet/zeroclaw		sync fork with upstream workflow run failed for master branch	2026-06-27T08:10:56Z	https://github.com/JordanTheJet/zeroclaw	24391994492
author	Issue	zeroclaw-labs/zeroclaw	5808	[Bug]: Default 32k context budget is exceeded by system prompt + tool definitions on iteration 1, causing perpetual preemptive trim	2026-06-27T07:04:12Z	https://github.com/zeroclaw-labs/zeroclaw/issues/5808	23587730271
review_requested	PullRequest	zeroclaw-labs/zeroclaw	8338	feat(elicitation): ACP multiple-choice for the ACP channel and Zerocode Code tab	2026-06-27T05:54:01Z	https://github.com/zeroclaw-labs/zeroclaw/pull/8338	24377803520
assign	Issue	zeroclaw-labs/zeroclaw	8360	[Tracker]: v0.8.3 provider and native-tool message serialization	2026-06-27T06:03:11Z	https://github.com/zeroclaw-labs/zeroclaw/issues/8360	24385297303
